dataset,target_emotion,n,e2v_target_prob_mean,e2v_top_accuracy,superb_target_prob_mean,superb_top_accuracy,vad_target_prob_mean,vad_top_accuracy,emotion_consensus_mean,vad_arousal_mean,vad_dominance_mean,vad_valence_mean,main_auto_v3_mean
ALL,angry,6,4.459425849204484e-06,0.0,0.14606058919647089,0.3333333333333333,0.187101875519556,0.16666666666666666,0.12500691422761762,0.46383483211199444,0.5632169594367346,0.48819510142008465,0.3550498959650292
ALL,happy,7,0.4320714596161636,0.42857142857142855,0.641521196280207,0.8571428571428571,0.4582028070833188,0.42857142857142855,0.4532693166235823,0.5495975996766772,0.6302715454782758,0.7136055060795375,0.6932478287737291
ALL,neutral,32,0.9659086907977326,0.96875,0.7432441459968686,0.8125,0.46566277195091943,1.0,0.7588000237495645,0.42145226523280144,0.522102041170001,0.5495357667095959,0.8502843776771453
ALL,sad,7,0.5714599848501934,0.5714285714285714,0.013681067877249526,0.0,0.3129857725986784,0.0,0.1848853097035221,0.37482493264334543,0.4916384518146515,0.5235436984470913,0.4612604674719334
boundary_metric_v1,angry,2,1.197642190498005e-05,0.0,0.17655309895053506,0.5,0.1479318002626332,0.0,0.11339207404397528,0.4355257749557495,0.5429480522871017,0.4875779002904892,0.3516790637830108
boundary_metric_v1,happy,3,0.34150623158136245,0.3333333333333333,0.512046272555987,0.6666666666666666,0.35836131878467187,0.3333333333333333,0.30093485108607726,0.5372115174929301,0.6223904887835184,0.584237277507782,0.6047170172405926
boundary_metric_v1,neutral,10,0.996959900856018,1.0,0.8159123182296752,1.0,0.47482457433427483,1.0,0.8159123182296752,0.39749072790145873,0.501697427034378,0.5292612090706825,0.8608292676959353
boundary_metric_v1,sad,3,0.33333340963035624,0.3333333333333333,0.007814533212998262,0.0,0.30978110527734365,0.0,0.13735535079470662,0.38324957092603046,0.5021773378054301,0.5110051333904266,0.3658266098671315
controlled_emotion_intensity_v1,angry,2,1.2360757004467246e-06,0.0,0.004135534050874412,0.0,0.07176452690106559,0.0,0.004135534050874412,0.4277961850166321,0.5294274091720581,0.6852841377258301,0.13794555154207405
controlled_emotion_intensity_v1,happy,2,4.469226204395493e-12,0.0,0.6239045560359955,1.0,0.28169010944267375,0.0,0.28169010944267375,0.45162253081798553,0.5405576825141907,0.6762190759181976,0.5750183864755511
controlled_emotion_intensity_v1,neutral,2,0.977389007806778,1.0,0.7747145593166351,1.0,0.5259056127343843,1.0,0.7747145593166351,0.3415503054857254,0.4589041471481323,0.6251877844333649,0.8199671248715161
controlled_emotion_intensity_v1,sad,2,1.0,1.0,0.010494917631149292,0.0,0.255565669928725,0.0,0.255565669928725,0.37332695722579956,0.4815085828304291,0.6478234529495239,0.5676725310130145
multisystem_generalization_v1,neutral,18,0.9435945045196503,0.9444444444444444,0.6726197749376297,0.6666666666666666,0.45138408055198515,1.0,0.7002746687201998,0.44513259331385296,0.5410808738734987,0.5482772754298316,0.8343604229226007
parler_emotion_v1,angry,2,1.6577994218667721e-07,0.0,0.25749313458800316,0.5,0.3416092993949692,0.5,0.25749313458800316,0.5281825363636017,0.6172754168510437,0.29172326624393463,0.5755250725700031
parler_emotion_v1,happy,2,0.9999907612800598,1.0,0.8533502221107483,1.0,0.784477737171934,1.0,0.8533502221107483,0.6661517918109894,0.7318069934844971,0.9450442790985107,0.9442734883716121
parler_emotion_v1,neutral,2,1.0,1.0,0.9840522110462189,1.0,0.4881191418410863,1.0,0.9840522110462189,0.4080389589071274,0.5165135115385056,0.5865829586982727,0.9711927731797252
parler_emotion_v1,sad,2,0.5001098325301427,0.5,0.025667020119726658,0.0,0.37521287625063404,0.0,0.18549988784154242,0.3636859506368637,0.485959991812706,0.41807179152965546,0.4979991903380552
