candidate,cost_tier,ingredients,pearson,spearman,kendall_tau_b,pairwise_accuracy,mae,rmse,top3_overlap,top5_overlap,bottom5_overlap,notes,validation
low_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease,0.192787,0.122599,0.087481,0.543741,0.200952,0.244195,0.000000,0.000000,0.200000,alpha=10,LOOCV
low_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease,0.020983,0.013874,0.027914,0.513952,0.230946,0.280587,0.000000,0.000000,0.000000,alpha=10,leave_dataset_out
low_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease,-0.235859,-0.096389,-0.075415,0.462293,0.235492,0.328198,0.000000,0.000000,0.000000,alpha=10,leave_system_out
e2v_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm,0.652466,0.377871,0.227753,0.613876,0.154721,0.187303,0.000000,0.200000,0.400000,alpha=10,LOOCV
e2v_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm,0.515801,0.387469,0.245542,0.621795,0.176547,0.221697,0.000000,0.000000,0.200000,alpha=10,leave_dataset_out
e2v_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm,-0.014431,0.227110,0.140803,0.570136,0.229425,0.311944,0.000000,0.000000,0.000000,alpha=10,leave_system_out
superb_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+superb_target_prob+superb_entropy_norm,0.780150,0.727653,0.542986,0.771493,0.126672,0.156217,0.333333,0.200000,0.600000,alpha=10,LOOCV
superb_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+superb_target_prob+superb_entropy_norm,0.529787,0.585418,0.417798,0.708899,0.168994,0.218679,0.333333,0.200000,0.200000,alpha=10,leave_dataset_out
superb_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+superb_target_prob+superb_entropy_norm,-0.043099,0.440417,0.308391,0.653846,0.252152,0.361120,0.000000,0.400000,0.000000,alpha=10,leave_system_out
vad_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+vad_target_prob+vad_arousal+vad_dominance+vad_valence,0.689077,0.482497,0.348056,0.673831,0.136879,0.179505,0.000000,0.200000,0.800000,alpha=10,LOOCV
vad_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+vad_target_prob+vad_arousal+vad_dominance+vad_valence,0.345256,0.420338,0.305776,0.652715,0.201689,0.270186,0.000000,0.400000,0.200000,alpha=10,leave_dataset_out
vad_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+vad_target_prob+vad_arousal+vad_dominance+vad_valence,-0.305673,-0.286519,-0.202112,0.398944,0.254138,0.334578,0.000000,0.200000,0.000000,alpha=10,leave_system_out
all_emotion_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm+superb_target_prob+superb_entropy_norm+vad_target_prob,0.908082,0.866462,0.698377,0.848793,0.077509,0.105022,0.000000,0.400000,0.800000,alpha=10,LOOCV
all_emotion_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm+superb_target_prob+superb_entropy_norm+vad_target_prob,0.894490,0.868327,0.708412,0.854072,0.086136,0.114448,0.000000,0.400000,0.800000,alpha=10,leave_dataset_out
all_emotion_plus_dsp_ridge,,signal_quality+rate_fit+silence_ratio+energy_cv+voiced_ratio+spectral_flatness+text_ease+e2v_target_prob+e2v_entropy_norm+superb_target_prob+superb_entropy_norm+vad_target_prob,0.030892,0.457953,0.315234,0.657617,0.219962,0.297830,0.000000,0.400000,0.000000,alpha=10,leave_system_out
