group_by,group,samples,main_mean,intelligibility_mean,emotion_teacher_mean,sanity_mean,fixed_low_dsp_mean,fixed_low_dsp_mae,ser_target_prob_mean,ser_target_prob_mae,loso_low_dsp_ridge_mean,loso_low_dsp_ridge_mae,loso_neural_dsp_ridge_mean,loso_neural_dsp_ridge_mae,loto_low_dsp_ridge_mean,loto_low_dsp_ridge_mae,loto_neural_dsp_ridge_mean,loto_neural_dsp_ridge_mae,lobc_low_dsp_ridge_mean,lobc_low_dsp_ridge_mae,lobc_neural_dsp_ridge_mean,lobc_neural_dsp_ridge_mae
tts_system,bark,6,0.933618,0.915530,0.962042,0.986776,0.667957,0.265661,0.962041,0.059129,0.685234,0.250093,0.744569,0.218071,0.890898,0.074936,0.923494,0.063499,0.856245,0.084339,0.884399,0.081510
tts_system,parler,6,0.754115,0.886364,0.546295,0.999806,0.773256,0.266148,0.546295,0.207820,0.861155,0.144690,0.828075,0.119135,0.863756,0.163556,0.823314,0.120759,0.837824,0.140341,0.819021,0.121686
tts_system,sapi,6,0.794709,0.976190,0.509523,1.000000,0.844871,0.110970,0.509523,0.285186,0.776123,0.089899,0.747510,0.055086,0.822567,0.111216,0.792661,0.063438,0.795315,0.064628,0.793921,0.043412
is_boundary,0,9,0.858183,0.977778,0.670249,1.000000,0.797645,0.165733,0.670249,0.207527,0.824777,0.069832,0.825198,0.055285,0.830986,0.076191,0.827953,0.052613,0.801379,0.070856,0.818785,0.060771
is_boundary,1,9,0.796778,0.874279,0.674991,0.991055,0.726411,0.262786,0.674991,0.160563,0.723565,0.253289,0.721572,0.206243,0.887162,0.156947,0.865026,0.112518,0.858210,0.122016,0.846109,0.103634
text_id,boundary_acronyms,3,0.758513,0.785714,0.715769,1.000000,0.628657,0.330449,0.715769,0.042744,0.806202,0.241729,0.818860,0.189076,0.993707,0.235193,0.947859,0.189345,0.859977,0.178286,0.851758,0.160319
text_id,boundary_digits,3,0.910683,0.958333,0.835803,1.000000,0.748428,0.197862,0.835803,0.119303,0.813555,0.097127,0.848481,0.062202,0.810838,0.099844,0.844279,0.066404,0.859141,0.051542,0.862766,0.047916
text_id,boundary_tongue_twister,3,0.721137,0.878788,0.473401,0.973164,0.802147,0.260047,0.473401,0.319642,0.550937,0.421012,0.497374,0.367449,0.856941,0.135804,0.802942,0.081804,0.855514,0.136221,0.823804,0.102667
text_id,normal_01,3,0.781948,0.933333,0.544057,1.000000,0.845434,0.195315,0.544057,0.296669,0.809054,0.027106,0.800831,0.048017,0.820786,0.038837,0.796359,0.047784,0.775431,0.020450,0.801490,0.036113
text_id,normal_02,3,0.936011,1.000000,0.835457,1.000000,0.765480,0.175854,0.835457,0.100554,0.832546,0.103465,0.855332,0.080679,0.830106,0.105905,0.860888,0.075123,0.818843,0.117168,0.837187,0.098823
text_id,normal_03,3,0.856590,1.000000,0.631232,1.000000,0.782020,0.126029,0.631232,0.225358,0.832730,0.078924,0.819431,0.037160,0.842065,0.083831,0.826611,0.034931,0.809862,0.074951,0.817677,0.047376
