candidate,cost_tier,ingredients,pearson,spearman,kendall_tau_b,pairwise_accuracy,mae,rmse,top3_overlap,top5_overlap,bottom5_overlap,notes
ridge_sim_ser_plus_low_dsp_loo,medium_neural,sim_ser_target_prob+sim_target_margin_loo+sim_pairwise_consistency+target_style_fit_v1+prosody_fit_light+rate_fit+text_ease,0.955335,0.928205,0.790769,0.895385,0.032165,0.046557,0.666667,0.800000,0.600000,fold-pure LOOCV ridge
sim_ser_target_prob,medium_neural,same model classifier target probability,0.888542,0.877607,0.747692,0.873846,0.258240,0.347192,0.666667,0.800000,0.600000,
lodo_sim_ser_plus_low_dsp,medium_neural,sim_ser_target_prob+sim_target_margin_loo+sim_pairwise_consistency+target_style_fit_v1+prosody_fit_light+rate_fit+text_ease,0.564751,0.389219,0.331526,0.658462,0.100571,0.160547,0.000000,0.400000,0.600000,fold-pure leave-one-dataset-out
lodo_sim_plus_low_dsp,medium_neural,sim_target_cos_loo+sim_target_margin_loo+sim_pairwise_consistency+target_style_fit_v1+prosody_fit_light+rate_fit+text_ease,0.361495,0.322739,0.238678,0.610769,0.157661,0.200386,0.333333,0.400000,0.400000,fold-pure leave-one-dataset-out
ridge_sim_plus_low_dsp_loo,medium_neural,sim_target_cos_loo+sim_target_margin_loo+sim_pairwise_consistency+target_style_fit_v1+prosody_fit_light+rate_fit+text_ease,0.150595,0.306667,0.187692,0.593846,0.141427,0.234229,0.000000,0.000000,0.200000,fold-pure LOOCV ridge
ridge_sim_centroid_loo,medium_neural,sim_target_cos_loo+sim_target_margin_loo+sim_target_rank_loo+sim_target_softmax_loo+sim_pairwise_consistency,-0.032892,0.132991,0.083077,0.541538,0.148101,0.243615,0.000000,0.000000,0.200000,fold-pure LOOCV ridge
sim_target_cos_loo,medium_neural,wav2vec2 embedding cosine to target-emotion centroid,-0.261845,-0.158291,-0.101538,0.449231,0.205940,0.254877,0.000000,0.000000,0.200000,
sim_target_rank_loo,medium_neural,rank of target centroid among emotion centroids,-0.192955,-0.192190,-0.149146,0.435385,0.353694,0.433224,0.333333,0.200000,0.200000,
sim_target_softmax_loo,medium_neural,softmax over emotion centroid cosine similarities,-0.243915,-0.241026,-0.187692,0.406154,0.535562,0.558172,0.000000,0.000000,0.200000,
sim_target_margin_loo,medium_neural,target centroid cosine minus nearest non-target centroid,-0.357636,-0.353846,-0.255385,0.372308,0.311305,0.354611,0.333333,0.200000,0.000000,
sim_pairwise_consistency,medium_neural,same-emotion pairwise embedding similarity minus different-emotion similarity,-0.581873,-0.604103,-0.427692,0.286154,0.332547,0.405849,0.000000,0.000000,0.000000,
