dataset,id,target_emotion,main_metric_0_1,sim_target_cos_loo,sim_target_cos_loo_abs_error,sim_target_margin_loo,sim_target_margin_loo_abs_error,sim_target_rank_loo,sim_target_rank_loo_abs_error,sim_target_softmax_loo,sim_target_softmax_loo_abs_error,sim_pairwise_consistency,sim_pairwise_consistency_abs_error,sim_ser_target_prob,sim_ser_target_prob_abs_error,ridge_sim_centroid_loo,ridge_sim_centroid_loo_abs_error,ridge_sim_plus_low_dsp_loo,ridge_sim_plus_low_dsp_loo_abs_error,ridge_sim_ser_plus_low_dsp_loo,ridge_sim_ser_plus_low_dsp_loo_abs_error,lodo_sim_plus_low_dsp,lodo_sim_plus_low_dsp_abs_error,lodo_sim_ser_plus_low_dsp,lodo_sim_ser_plus_low_dsp_abs_error
parler_emotion_v1,neutral_01,neutral,0.962698,0.991084,0.028386,0.418202,0.544496,0.666667,0.296031,0.245648,0.717050,0.311873,0.650825,0.988873,0.026175,0.877413,0.085285,0.809634,0.153064,0.949480,0.013218,0.816188,0.146510,0.945092,0.017606
parler_emotion_v1,happy_02,happy,0.952333,0.992970,0.040637,0.512924,0.439409,1.000000,0.047667,0.259960,0.692373,0.562141,0.390192,0.961356,0.009023,0.726988,0.225345,0.755234,0.197099,0.962066,0.009733,0.822150,0.130183,0.991880,0.039547
parler_emotion_v1,happy_01,happy,0.916491,0.990612,0.074121,0.449682,0.466809,0.333333,0.583158,0.251182,0.665309,0.535402,0.381089,0.745344,0.171147,0.676247,0.240244,0.826122,0.090369,0.944932,0.028441,0.822686,0.093805,0.953246,0.036755
parler_emotion_v1,neutral_02,neutral,0.891419,0.995213,0.103794,0.499788,0.391631,0.666667,0.224752,0.257132,0.634287,0.324089,0.567330,0.979231,0.087812,0.784594,0.106825,0.917606,0.026187,0.945089,0.053670,0.915625,0.024206,0.960690,0.069271
parler_emotion_v1,angry_01,angry,0.851983,0.992135,0.140152,0.499605,0.352378,0.666667,0.185316,0.255392,0.596591,0.627516,0.224467,0.431213,0.420770,0.690436,0.161547,0.763003,0.088980,0.794196,0.057787,0.761498,0.090485,0.813031,0.038952
parler_emotion_v1,angry_02,angry,0.642522,0.993286,0.350764,0.469033,0.173489,0.333333,0.309189,0.243208,0.399314,0.600900,0.041622,0.083773,0.558749,0.756016,0.113494,0.857774,0.215252,0.714542,0.072020,0.816874,0.174352,0.719098,0.076576
parler_emotion_v1,sad_02,sad,0.622155,0.994609,0.372454,0.498488,0.123667,0.666667,0.044512,0.262118,0.360037,0.656826,0.034671,0.050295,0.571860,0.645152,0.022997,0.604864,0.017291,0.613814,0.008341,0.596455,0.025700,0.616367,0.005788
parler_emotion_v1,sad_01,sad,0.560777,0.993829,0.433052,0.496666,0.064111,0.666667,0.105890,0.259707,0.301070,0.655090,0.094313,0.001039,0.559738,0.675045,0.114268,0.617795,0.057018,0.618625,0.057848,0.614088,0.053311,0.625085,0.064308
boundary_metric_v1,function_word_repetition,neutral,0.993317,0.905657,0.087660,0.451935,0.541382,0.666667,0.326650,0.260087,0.733230,0.488609,0.504708,0.976893,0.016424,0.426541,0.566776,0.432128,0.561189,1.000000,0.006683,1.000000,0.006683,1.000000,0.006683
boundary_metric_v1,sad_text_happy_voice,happy,0.966175,0.984811,0.018636,0.494282,0.471893,0.333333,0.632842,0.252701,0.713474,0.588921,0.377254,0.936487,0.029688,0.616607,0.349568,0.819049,0.147126,0.999787,0.033612,1.000000,0.033825,1.000000,0.033825
boundary_metric_v1,digits_address,neutral,0.949625,0.990980,0.041355,0.454129,0.495496,0.333333,0.616292,0.245004,0.704621,0.300884,0.648741,0.919919,0.029706,0.841120,0.108505,0.764625,0.185000,0.799288,0.150337,1.000000,0.050375,0.899822,0.049803
boundary_metric_v1,angry_text_neutral_voice,neutral,0.908341,0.988880,0.080539,0.422179,0.486162,0.000000,0.908341,0.234559,0.673782,0.281952,0.626389,0.756618,0.151723,0.875929,0.032412,0.944999,0.036658,0.877899,0.030442,1.000000,0.091659,0.791089,0.117252
boundary_metric_v1,homophones_minimal_pairs,neutral,0.879373,0.987604,0.108231,0.489997,0.389376,0.666667,0.212706,0.253498,0.625875,0.331096,0.548277,0.748683,0.130690,0.840987,0.038386,1.000000,0.120627,0.868668,0.010705,1.000000,0.120627,0.926817,0.047444
boundary_metric_v1,robotic_monotone,neutral,0.854820,0.992782,0.137962,0.503009,0.351811,1.000000,0.145180,0.252874,0.601946,0.319749,0.535071,0.851837,0.002983,0.931558,0.076738,0.904139,0.049319,0.882234,0.027414,1.000000,0.145180,0.884564,0.029744
boundary_metric_v1,noisy_neutral,neutral,0.851358,0.985956,0.134598,0.399140,0.452218,0.000000,0.851358,0.231003,0.620355,0.279178,0.572180,0.793530,0.057828,0.945477,0.094119,0.907686,0.056328,0.908678,0.057320,1.000000,0.148642,0.845954,0.005404
boundary_metric_v1,exaggerated_happy,happy,0.850926,0.984750,0.133824,0.418646,0.432280,0.333333,0.517593,0.233115,0.617811,0.522071,0.328855,0.495681,0.355245,0.886983,0.036057,0.839776,0.011150,0.845565,0.005361,1.000000,0.149074,0.773310,0.077616
boundary_metric_v1,control_neutral_neutral,neutral,0.849007,0.994943,0.145936,0.479553,0.369454,0.333333,0.515674,0.247182,0.601825,0.301474,0.547533,0.795235,0.053772,0.811875,0.037132,0.815731,0.033276,0.809095,0.039912,0.806106,0.042901,0.815752,0.033255
boundary_metric_v1,distant_reverb_neutral,neutral,0.843101,0.991590,0.148489,0.503381,0.339720,1.000000,0.156899,0.273848,0.569253,0.373725,0.469376,0.832046,0.011055,0.685036,0.158065,0.945617,0.102516,0.874110,0.031009,1.000000,0.156899,0.875510,0.032409
boundary_metric_v1,control_angry_angry,angry,0.835137,0.993834,0.158697,0.504696,0.330441,1.000000,0.164863,0.256443,0.578694,0.622930,0.212207,0.350994,0.484143,0.741275,0.093862,0.791647,0.043490,0.746928,0.088209,0.723935,0.111202,0.762895,0.072242
boundary_metric_v1,control_happy_happy,happy,0.678977,0.988745,0.309768,0.422032,0.256945,0.000000,0.678977,0.229271,0.449706,0.505334,0.173643,0.103971,0.575006,0.880543,0.201566,0.892853,0.213876,0.721561,0.042584,0.994131,0.315154,0.582339,0.096638
boundary_metric_v1,whisper_sad,sad,0.616864,0.993601,0.376737,0.490429,0.126435,0.666667,0.049803,0.250612,0.366252,0.644201,0.027337,0.000727,0.616137,0.746374,0.129510,0.621883,0.005019,0.599924,0.016940,0.704583,0.087719,0.630997,0.014133
boundary_metric_v1,neutral_text_angry_voice,angry,0.610671,0.986920,0.376249,0.514625,0.096046,1.000000,0.389329,0.268407,0.342264,0.679347,0.068676,0.002112,0.608559,0.681797,0.071126,0.751988,0.141317,0.580583,0.030088,1.000000,0.389329,0.709197,0.098526
boundary_metric_v1,happy_text_sad_voice,sad,0.604236,0.993479,0.389243,0.494333,0.109903,0.666667,0.062431,0.257039,0.347197,0.650830,0.046594,0.020172,0.584064,0.691518,0.087282,0.598406,0.005830,0.586127,0.018109,0.755233,0.150997,0.550705,0.053531
boundary_metric_v1,control_sad_sad,sad,0.600534,0.993525,0.392991,0.510564,0.089970,1.000000,0.399466,0.264036,0.336498,0.667811,0.067277,0.002545,0.597989,0.703320,0.102786,0.544689,0.055845,0.583997,0.016537,0.636229,0.035695,0.570408,0.030126
boundary_metric_v1,technical_acronyms,neutral,0.551019,0.989678,0.438659,0.482165,0.068854,0.333333,0.217686,0.259948,0.291071,0.341886,0.209133,0.886291,0.335272,0.804079,0.253060,0.513973,0.037046,0.576949,0.025930,1.000000,0.448981,0.934214,0.383195
boundary_metric_v1,fast_tongue_twister,neutral,0.482527,0.982807,0.500280,0.526302,0.043775,1.000000,0.517473,0.271146,0.211381,0.383898,0.098629,0.598071,0.115544,0.845443,0.362916,0.643731,0.161204,0.576969,0.094442,1.000000,0.517473,0.824448,0.341921
