dataset,id,case_type,target_emotion,main_metric_0_1,target_style_fit_v1_pred,target_style_fit_v1_abs_error,delivery_fit_v1_pred,delivery_fit_v1_abs_error,ridge_delivery_low_dsp_loo_pred,ridge_delivery_low_dsp_loo_abs_error,nested_subset_low_dsp_loo_pred,nested_subset_low_dsp_loo_abs_error,ridge_ser_delivery_loo_pred,ridge_ser_delivery_loo_abs_error
parler_emotion_v1,neutral_01,,neutral,0.962698,0.489271,0.473427,0.615541,0.347157,0.832943,0.129755,0.881684,0.081014,0.888334,0.074364
parler_emotion_v1,happy_02,,happy,0.952333,0.770427,0.181906,0.709189,0.243144,0.772350,0.179983,0.765254,0.187079,0.962960,0.010627
parler_emotion_v1,happy_01,,happy,0.916491,0.742833,0.173658,0.754190,0.162301,0.815918,0.100573,0.930621,0.014130,0.924556,0.008065
parler_emotion_v1,neutral_02,,neutral,0.891419,0.651232,0.240187,0.670630,0.220789,0.887185,0.004234,0.799223,0.092196,0.965070,0.073651
parler_emotion_v1,angry_01,,angry,0.851983,0.702520,0.149463,0.708028,0.143955,0.918591,0.066608,0.728134,0.123849,0.850330,0.001653
parler_emotion_v1,angry_02,,angry,0.642522,0.862962,0.220440,0.792520,0.149998,0.874437,0.231915,0.784211,0.141689,0.690231,0.047709
parler_emotion_v1,sad_02,,sad,0.622155,0.346011,0.276144,0.460227,0.161928,0.636054,0.013899,0.651657,0.029502,0.596782,0.025373
parler_emotion_v1,sad_01,,sad,0.560777,0.458272,0.102505,0.471603,0.089174,0.590844,0.030067,0.586522,0.025745,0.623266,0.062489
boundary_metric_v1,function_word_repetition,asr_normalization,neutral,0.993317,0.617727,0.375590,0.727291,0.266026,0.956951,0.036366,0.943190,0.050127,0.942341,0.050976
boundary_metric_v1,sad_text_happy_voice,lexical_voice_conflict,happy,0.966175,0.773515,0.192660,0.754241,0.211934,0.895660,0.070515,0.947888,0.018287,0.971072,0.004897
boundary_metric_v1,digits_address,asr_normalization,neutral,0.949625,0.612478,0.337147,0.688012,0.261613,0.734465,0.215160,0.940755,0.008870,0.793227,0.156398
boundary_metric_v1,angry_text_neutral_voice,lexical_voice_conflict,neutral,0.908341,0.531776,0.376565,0.596316,0.312025,0.840842,0.067499,0.756947,0.151394,0.870641,0.037700
boundary_metric_v1,homophones_minimal_pairs,asr_normalization,neutral,0.879373,0.548754,0.330619,0.699070,0.180303,1.000000,0.120627,0.838369,0.041004,0.916019,0.036646
boundary_metric_v1,robotic_monotone,acoustic_quality_trap,neutral,0.854820,0.488712,0.366108,0.656080,0.198740,0.910884,0.056064,0.894931,0.040111,0.921382,0.066562
boundary_metric_v1,noisy_neutral,acoustic_quality_trap,neutral,0.851358,0.590481,0.260877,0.638549,0.212809,0.856355,0.004997,0.876834,0.025476,0.864453,0.013095
boundary_metric_v1,exaggerated_happy,style_quality_trap,happy,0.850926,0.674655,0.176271,0.668102,0.182824,0.792903,0.058023,1.000000,0.149074,0.832070,0.018856
boundary_metric_v1,control_neutral_neutral,control,neutral,0.849007,0.520868,0.328139,0.614131,0.234876,0.808901,0.040106,0.917584,0.068577,0.849130,0.000123
boundary_metric_v1,distant_reverb_neutral,acoustic_quality_trap,neutral,0.843101,0.466667,0.376434,0.618151,0.224950,0.947831,0.104730,0.780281,0.062820,0.906120,0.063019
boundary_metric_v1,control_angry_angry,control,angry,0.835137,0.844755,0.009618,0.796245,0.038892,0.811035,0.024102,0.790292,0.044845,0.837012,0.001875
boundary_metric_v1,control_happy_happy,control,happy,0.678977,0.792136,0.113159,0.720357,0.041380,0.784908,0.105931,0.835281,0.156304,0.661436,0.017541
boundary_metric_v1,whisper_sad,style_quality_trap,sad,0.616864,0.279361,0.337503,0.428193,0.188671,0.721139,0.104275,0.964056,0.347192,0.576935,0.039929
boundary_metric_v1,neutral_text_angry_voice,lexical_voice_conflict,angry,0.610671,0.705337,0.094666,0.710241,0.099570,0.792917,0.182246,0.921205,0.310534,0.578828,0.031843
boundary_metric_v1,happy_text_sad_voice,lexical_voice_conflict,sad,0.604236,0.359448,0.244788,0.432266,0.171970,0.560687,0.043549,0.549318,0.054918,0.571679,0.032557
boundary_metric_v1,control_sad_sad,control,sad,0.600534,0.349600,0.250934,0.417528,0.183006,0.604701,0.004167,0.632963,0.032429,0.597505,0.003029
boundary_metric_v1,technical_acronyms,asr_normalization,neutral,0.551019,0.575246,0.024227,0.553461,0.002442,0.617313,0.066294,0.711699,0.160680,0.496312,0.054707
boundary_metric_v1,fast_tongue_twister,intelligibility_stress,neutral,0.482527,0.445884,0.036643,0.426374,0.056153,0.411665,0.070862,0.517491,0.034964,0.652798,0.170271
